@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_VAR_on_ACC_X numeric
@attribute F3_PeakToPeak_on_ACC_X numeric
@attribute F4_MIN_on_ACC_X numeric
@attribute F5_MAX_on_ACC_X numeric
@attribute F6_MEAN_on_ACC_Y numeric
@attribute F7_VAR_on_ACC_Y numeric
@attribute F8_PeakToPeak_on_ACC_Y numeric
@attribute F9_MIN_on_ACC_Y numeric
@attribute F10_MAX_on_ACC_Y numeric
@attribute F11_MEAN_on_ACC_Z numeric
@attribute F12_VAR_on_ACC_Z numeric
@attribute F13_PeakToPeak_on_ACC_Z numeric
@attribute F14_MIN_on_ACC_Z numeric
@attribute F15_MAX_on_ACC_Z numeric
@attribute F16_MEAN_on_GY_X numeric
@attribute F17_VAR_on_GY_X numeric
@attribute F18_PeakToPeak_on_GY_X numeric
@attribute F19_MIN_on_GY_X numeric
@attribute F20_MAX_on_GY_X numeric
@attribute F21_MEAN_on_GY_Y numeric
@attribute F22_VAR_on_GY_Y numeric
@attribute F23_PeakToPeak_on_GY_Y numeric
@attribute F24_MIN_on_GY_Y numeric
@attribute F25_MAX_on_GY_Y numeric
@attribute F26_MEAN_on_GY_Z numeric
@attribute F27_VAR_on_GY_Z numeric
@attribute F28_PeakToPeak_on_GY_Z numeric
@attribute F29_MIN_on_GY_Z numeric
@attribute F30_MAX_on_GY_Z numeric
@attribute class {Forward_Backward, Idle, Lateral, Up_Down}

@data
-0.0380249, 0.0219574, 0.686523, -0.429443, 0.25708, -0.0106049, 0.00208473, 0.259033, -0.164795, 0.0942383, 1.01758, 0.00390625, 0.335449, 0.824707, 1.16016, -0.0114517, 0.0841064, 1.58105, -0.77002, 0.811035, 0.000117064, 0.0638428, 1.28125, -0.695801, 0.585449, -0.0387878, 0.0614929, 1.32031, -0.608887, 0.711426, Forward_Backward
-0.0186005, 0.0137177, 0.572266, -0.265625, 0.306396, 0.00134563, 0.00127792, 0.159058, -0.062439, 0.0966187, 1.02148, 0, 0.28418, 0.904297, 1.18848, 0.00280952, 0.0381165, 0.881348, -0.520508, 0.360596, 0.0140381, 0.0436707, 1.0127, -0.595215, 0.416992, 0.0119324, 0.041748, 1.00391, -0.366455, 0.637207, Forward_Backward
-0.0255585, 0.015625, 0.539063, -0.260254, 0.278809, 0.0174103, 0.00482559, 0.34668, -0.160156, 0.186401, 1.01758, 0, 0.186523, 0.930664, 1.11719, -0.00270271, 0.0562439, 1.42773, -0.657227, 0.77002, 0.0309143, 0.0429382, 1.34863, -0.759766, 0.588379, -0.00804138, 0.038269, 0.880371, -0.51416, 0.366211, Forward_Backward
-0.0445251, 0.0149078, 0.544922, -0.335693, 0.209229, -0.0155029, 0.00385666, 0.314697, -0.156494, 0.158081, 1.01855, 0, 0.23291, 0.929199, 1.16211, -0.0300446, 0.0812378, 1.47754, -0.609863, 0.867676, 0.0105896, 0.113342, 1.99805, -0.574219, 1.42383, 0.0185852, 0.072937, 1.30371, -0.730469, 0.572754, Forward_Backward
-0.00751495, 0.0254822, 0.640625, -0.378662, 0.261719, -0.056488, 0.00413513, 0.362305, -0.217651, 0.144531, 1.0166, 0, 0.227539, 0.889648, 1.11719, 0.0230103, 0.123535, 1.92383, -0.801758, 1.12207, -0.00119686, 0.197754, 3.64648, -2.22656, 1.41895, -0.0119858, 0.046875, 1.17383, -0.721191, 0.452393, Forward_Backward
-0.00392151, 1.45435e-05, 0.0175171, -0.0126877, 0.00481796, 0.00914764, 1.88351e-05, 0.0210419, -0.00195122, 0.0190887, 1.01758, 0, 0.0126953, 1.00879, 1.02148, -0.00485611, 4.29153e-06, 0.00855255, -0.00931549, -0.000763416, 0.00944519, 3.8147e-06, 0.00786591, 0.00534439, 0.0132065, -0.00498199, 2.44379e-06, 0.00770569, -0.00839233, -0.000687122, Idle
-0.00494003, 2.28882e-05, 0.0289764, -0.0190277, 0.0099411, 0.00873566, 2.06232e-05, 0.0208588, -0.000975609, 0.0198822, 1.02148, 0, 0.0244141, 1.00586, 1.03027, -0.00469208, 6.73532e-06, 0.0124435, -0.010231, 0.00221252, 0.00947571, 7.15256e-06, 0.0115967, 0.00450134, 0.016098, -0.00481796, 3.03984e-06, 0.0100021, -0.0113754, -0.00137424, Idle
-0.0043335, 1.57952e-05, 0.017807, -0.0135345, 0.00426865, 0.0089798, 1.055e-05, 0.0168915, -0.000731945, 0.0161591, 1.02246, 0, 0.0136719, 1.01074, 1.02441, -0.00518036, 4.47035e-06, 0.00984955, -0.0100784, -0.000229001, 0.00939178, 5.54323e-06, 0.0104599, 0.00351143, 0.0139694, -0.00479126, 1.60933e-06, 0.00603104, -0.00748062, -0.00145054, Idle
-0.00393295, 2.53916e-05, 0.0254974, -0.0146332, 0.0108566, 0.00888824, 2.21133e-05, 0.0265961, -0.00103664, 0.0255585, 1.02441, 0, 0.114258, 1.01172, 1.12598, -0.00486755, 5.1856e-06, 0.0134354, -0.0126724, 0.000763416, 0.00944519, 5.84126e-06, 0.00931549, 0.00549698, 0.0148087, -0.00481033, 2.38419e-06, 0.00869751, -0.00900269, -0.000305414, Idle
-0.00395203, 6.85453e-06, 0.0121384, -0.00963593, 0.00250053, 0.00901794, 5.30481e-06, 0.00945282, 0.00426865, 0.0137177, 1.02246, 0, 0.00976563, 1.01172, 1.02148, -0.00480652, 5.54323e-06, 0.0104599, -0.0104599, 0, 0.00959015, 4.58956e-06, 0.0091629, 0.00534439, 0.0145035, -0.00501633, 9.53674e-07, 0.00503922, -0.00717545, -0.00213623, Idle
-0.00398254, 1.32322e-05, 0.0150681, -0.0130539, 0.00201225, 0.00865936, 1.38283e-05, 0.0175018, 0.000975609, 0.0184784, 1.02148, 0, 0.0107422, 1.01172, 1.02246, -0.00563049, 6.97374e-06, 0.0117569, -0.0112228, 0.000534058, 0.0105591, 4.23193e-06, 0.011673, 0.00557327, 0.0172424, -0.00484848, 2.20537e-06, 0.00862122, -0.00808716, 0.000534058, Idle
-0.0042305, 1.26958e-05, 0.0181732, -0.0139618, 0.00420761, 0.00783539, 1.12057e-05, 0.0159149, -0.00176811, 0.0141449, 1.01953, 0, 0.0366211, 0.999512, 1.03613, -0.00489426, 5.48363e-06, 0.00969696, -0.00946808, 0.000229001, 0.01017, 5.48363e-06, 0.00977325, 0.00580215, 0.0155716, -0.00486755, 9.53674e-07, 0.00458145, -0.00717545, -0.0025959, Idle
