@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_ACC_V numeric
@attribute F5_MEAN_on_GY_X numeric
@attribute F6_MEAN_on_GY_Y numeric
@attribute F7_MEAN_on_GY_Z numeric
@attribute F8_MEAN_on_GY_V numeric
@attribute F9_VAR_on_ACC_X numeric
@attribute F10_VAR_on_ACC_Y numeric
@attribute F11_VAR_on_ACC_Z numeric
@attribute F12_VAR_on_ACC_V numeric
@attribute F13_VAR_on_GY_X numeric
@attribute F14_VAR_on_GY_Y numeric
@attribute F15_VAR_on_GY_Z numeric
@attribute F16_VAR_on_GY_V numeric
@attribute F17_ENERGY_on_ACC_X numeric
@attribute F18_ENERGY_on_ACC_Y numeric
@attribute F19_ENERGY_on_ACC_Z numeric
@attribute F20_ENERGY_on_ACC_V numeric
@attribute F21_ENERGY_on_GY_X numeric
@attribute F22_ENERGY_on_GY_Y numeric
@attribute F23_ENERGY_on_GY_Z numeric
@attribute F24_ENERGY_on_GY_V numeric
@attribute F25_PeakToPeak_on_ACC_X numeric
@attribute F26_PeakToPeak_on_ACC_Y numeric
@attribute F27_PeakToPeak_on_ACC_Z numeric
@attribute F28_PeakToPeak_on_ACC_V numeric
@attribute F29_PeakToPeak_on_GY_X numeric
@attribute F30_PeakToPeak_on_GY_Y numeric
@attribute F31_PeakToPeak_on_GY_Z numeric
@attribute class {Circle, Idle, Square, Triangle}

@data
-0.0969238, -0.0722046, 0.986816, 1.02246, 0.0604858, 0.0431824, 0.0510254, 0.727539, 0.0438843, 0.00943756, 0.015625, 0.0126953, 0.0820923, 0.301758, 0.172729, 0.0351563, 4.32031, 1.1875, 80.1875, 85.8125, 6.94922, 24.6094, 14.2109, 45.75, 0.765625, 0.449463, 0.483887, 0.470215, 1.30176, 2.0918, 1.7168, Circle
-0.126587, -0.0786133, 0.95459, 0.997559, 0.165161, 0.0292816, -0.0632324, 0.814453, 0.0474548, 0.0087204, 0.0234375, 0.0166016, 0.085022, 0.294922, 0.313477, 0.0625, 5.14453, 1.20801, 75.75, 82, 9.10156, 23.9688, 25.7188, 58.8438, 0.808594, 0.471924, 0.588379, 0.587402, 1.3125, 2.17969, 2.16602, Circle
-0.118652, -0.0900879, 0.965332, 1.00781, 0.0916748, -0.115479, -0.0541687, 0.795898, 0.0432739, 0.0124207, 0.0200195, 0.0136719, 0.0895996, 0.306641, 0.287109, 0.0751953, 4.64844, 1.66504, 77.125, 83.4375, 7.94531, 25.9375, 23.5156, 57.4375, 0.719238, 0.438232, 0.578613, 0.521484, 1.66992, 2.31055, 1.91309, Circle
-0.0841064, -0.140625, 0.993164, 1.03418, 0.0372009, -0.0535278, 0.0127945, 0.728027, 0.0427551, 0.0124817, 0.0195313, 0.0185547, 0.0962524, 0.270508, 0.214478, 0.0566406, 4.03906, 2.61523, 81.5625, 88.1875, 7.91406, 22.1563, 17.3906, 47.5313, 0.802734, 0.499268, 0.714844, 0.596191, 1.59375, 1.85254, 1.9834, Circle
-0.00396347, 0.0031929, 1.01465, 1.0166, 0.0144119, -0.0220032, -0.0999756, 0.333984, 0.00374031, 0.00131226, 0.000976563, 0.00292969, 0.0284882, 0.0977173, 0.127563, 0.153076, 0.304443, 0.107239, 83.5, 84, 2.32617, 7.96094, 11.1563, 21.4531, 0.378906, 0.182373, 0.273926, 0.254395, 0.828613, 2.00781, 1.95313, Circle
0.0606689, 0.0168152, 1.01172, 1.01563, 0.0075531, 0.0262909, 0.00327682, 0.316406, 0.00284195, 0.00115585, 0.00390625, 0.00488281, 0.0192108, 0.0603027, 0.0406799, 0.0209351, 0.528809, 0.116577, 83.25, 84, 1.5625, 4.94531, 3.29688, 9.8125, 0.220093, 0.156982, 0.114258, 0.111816, 0.680176, 1.05176, 0.879395, Circle
0.0563965, 0.0678101, 1.02246, 1.0293, 0.0254517, -0.0167694, 0.141724, 0.307373, 0.00730896, 0.00568008, 0, 0.0078125, 0.0220032, 0.0602112, 0.0501709, 0.059082, 0.850586, 0.833008, 84.625, 86.5, 1.83594, 4.90234, 5.69531, 12.4453, 0.266357, 0.375977, 0.316895, 0.346191, 0.722656, 1.20996, 0.864258, Circle
-0.0362854, 0.0428162, 0.973633, 1.00488, 0.139893, 0.129272, -0.0357666, 0.950684, 0.0450745, 0.0100632, 0.0229492, 0.0175781, 0.0735474, 0.394287, 0.432129, 0.0332031, 3.75977, 0.963867, 78.6875, 83.3125, 7.55078, 33.3125, 35.125, 75.9375, 0.629883, 0.397949, 0.436523, 0.395996, 1.1084, 2.22656, 2.0957, Circle
-0.0608215, -0.0842896, 0.967773, 1.00684, 0.119019, -0.119141, -0.0649414, 0.898438, 0.0525818, 0.0109024, 0.0205078, 0.0175781, 0.0779419, 0.397949, 0.353516, 0.0566406, 4.5625, 1.45996, 77.5625, 83.5625, 7.46484, 33.4063, 29, 70, 0.769531, 0.419434, 0.53125, 0.44873, 1.07324, 2.18164, 2.13281, Circle
-0.0588074, -0.0750122, 0.960938, 1.0293, 0.183472, -0.133667, 0.0362854, 0.946289, 0.10321, 0.0154648, 0.0229492, 0.0136719, 0.0431824, 0.524902, 0.333984, 0.0605469, 8.64844, 1.70898, 76.6875, 87, 6.22656, 44.0313, 27.1719, 77.5, 0.980469, 0.424805, 0.577637, 0.418457, 0.762695, 2.66406, 1.89258, Circle
0.0740967, -0.110535, 0.986816, 1.02539, 0.0955811, 0.0412903, 0.0927734, 0.728027, 0.0561523, 0.00670624, 0.00244141, 0.00683594, 0.0312195, 0.27124, 0.272217, 0.0649414, 4.99609, 1.53418, 79.125, 85.8125, 3.27148, 22.125, 22.75, 48.2188, 0.757813, 0.35376, 0.307129, 0.304688, 0.706543, 1.93066, 1.82129, Circle
-0.0126953, -0.0999756, 0.996094, 1.03125, 0.113342, 0.0794067, 0.106384, 0.795898, 0.0470581, 0.00971985, 0.015625, 0.00976563, 0.028656, 0.339111, 0.303467, 0.0683594, 3.82617, 1.59863, 81.6875, 87, 3.36328, 28, 25.5, 56.875, 0.683105, 0.359619, 0.479492, 0.425781, 0.764648, 2.36523, 1.75391, Circle
-0.114685, -0.0830688, 0.945313, 0.999512, 0.203369, 0.0714722, -0.0492554, 0.85498, 0.0654907, 0.0139771, 0.0141602, 0.0107422, 0.0670776, 0.408936, 0.26709, 0.0610352, 6.37109, 1.69141, 73.5625, 81.8125, 8.78906, 33.5625, 21.8438, 64.1875, 0.728516, 0.375244, 0.461426, 0.354492, 1.02148, 2.11719, 1.89453, Circle
-0.0703125, -0.0966187, 0.942871, 1.00195, 0.15625, -0.0523682, -0.10321, 0.805664, 0.0703735, 0.0256653, 0.0175781, 0.0126953, 0.0464478, 0.293945, 0.315674, 0.0449219, 6.10547, 2.83789, 73.5, 82.4375, 5.74609, 24.0469, 26.4531, 56.25, 0.833008, 0.51416, 0.438477, 0.404297, 0.927734, 2.29883, 1.83984, Circle
-0.0514221, -0.116333, 0.984863, 1.0166, 0.0375671, -0.108215, -0.039093, 0.758301, 0.0413818, 0.00770569, 0.0102539, 0.0117188, 0.0654907, 0.30835, 0.230835, 0.0449219, 3.57031, 1.72168, 79.4375, 84.6875, 5.42188, 25.9375, 18.8438, 50.25, 0.702148, 0.417725, 0.397461, 0.34375, 1.0918, 1.84668, 1.79883, Circle
-0.0520325, -0.127563, 0.99707, 1.03516, 0.107849, -0.0574341, 0.0259552, 0.689453, 0.0397949, 0.0151978, 0.0107422, 0.00976563, 0.0822754, 0.216064, 0.196167, 0.0349121, 3.44531, 2.55078, 81.4375, 87.625, 7.61328, 17.7813, 15.9609, 41.3438, 0.654297, 0.414307, 0.391602, 0.337402, 1.24219, 1.5752, 1.61816, Circle
-0.0329285, -0.0726318, 0.994629, 1.02539, 0.0812378, -0.0386658, 0.0393982, 0.661621, 0.0431213, 0.00696945, 0.0146484, 0.0107422, 0.0353088, 0.243286, 0.205811, 0.0563965, 3.58398, 0.992676, 81.375, 86.125, 3.39648, 19.8438, 16.8125, 40.0625, 0.681152, 0.320557, 0.447754, 0.380859, 0.937988, 2.11719, 1.90918, Circle
-0.0681152, -0.0761108, 0.982422, 1.02051, 0.105835, -0.0290375, 0.0626221, 0.710449, 0.0533752, 0.00580215, 0.0136719, 0.00683594, 0.0426331, 0.236084, 0.234497, 0.0249023, 4.70313, 0.939941, 79.375, 84.9375, 4.36328, 19.2031, 19.3281, 42.9375, 0.728027, 0.28833, 0.46875, 0.345215, 0.837891, 1.61816, 1.54297, Circle
-0.053772, -0.0628052, 0.995605, 1.02832, 0.0953369, 0.0440063, 0.0540771, 0.70752, 0.0438843, 0.00986481, 0.0126953, 0.00878906, 0.0693359, 0.230347, 0.218994, 0.0327148, 3.79297, 1.11914, 81.375, 86.4375, 6.35938, 18.8281, 17.9844, 43.2188, 0.734863, 0.351807, 0.353516, 0.333984, 1.07617, 1.79883, 1.63281, Circle
-0.098999, -0.0732422, 0.98291, 1.01758, 0.0600891, 0.0426636, 0.0388794, 0.688477, 0.0410461, 0.00761414, 0.0146484, 0.00976563, 0.0578003, 0.2771, 0.15271, 0.0209961, 4.12109, 1.05176, 79.5, 84.6875, 4.97656, 22.6094, 12.5, 40.125, 0.666016, 0.325195, 0.373047, 0.325195, 1.01855, 1.70996, 1.44629, Circle
