@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_GY_X numeric
@attribute F5_MEAN_on_GY_Y numeric
@attribute F6_MEAN_on_GY_Z numeric
@attribute F7_VAR_on_ACC_X numeric
@attribute F8_VAR_on_ACC_Y numeric
@attribute F9_VAR_on_ACC_Z numeric
@attribute F10_VAR_on_GY_X numeric
@attribute F11_VAR_on_GY_Y numeric
@attribute F12_VAR_on_GY_Z numeric
@attribute F13_PeakToPeak_on_ACC_X numeric
@attribute F14_PeakToPeak_on_ACC_Y numeric
@attribute F15_PeakToPeak_on_ACC_Z numeric
@attribute F16_PeakToPeak_on_GY_X numeric
@attribute F17_PeakToPeak_on_GY_Y numeric
@attribute F18_PeakToPeak_on_GY_Z numeric
@attribute F19_MIN_on_ACC_X numeric
@attribute F20_MIN_on_ACC_Y numeric
@attribute F21_MIN_on_ACC_Z numeric
@attribute F22_MIN_on_GY_X numeric
@attribute F23_MIN_on_GY_Y numeric
@attribute F24_MIN_on_GY_Z numeric
@attribute F25_MAX_on_ACC_X numeric
@attribute F26_MAX_on_ACC_Y numeric
@attribute F27_MAX_on_ACC_Z numeric
@attribute F28_MAX_on_GY_X numeric
@attribute F29_MAX_on_GY_Y numeric
@attribute F30_MAX_on_GY_Z numeric
@attribute class {Circle, Idle, Square, Triangle}

@data
-0.00766754, 0.000625134, 1.01367, -0.00465393, 0.00905609, -0.00505066, 1.43051e-06, 4.17233e-07, 0.00976563, 1.07288e-06, 2.74181e-06, 1.78814e-07, 0.00500107, 0.00318718, 0.00683594, 0.00382805, 0.00540924, 0.00141144, -0.0105286, -0.000625134, 1.01172, -0.00695801, 0.00655365, -0.00577164, -0.0055275, 0.00256157, 1.01855, -0.00312996, 0.0119629, -0.0043602, Idle
-0.0441895, -0.10199, 1.00293, -0.0224304, 0.0132675, -0.0158844, 0.00166512, 0.000427246, 0.00585938, 0.00465393, 0.0197449, 0.00996399, 0.164551, 0.101074, 0.050293, 0.319336, 0.683105, 0.43042, -0.0894775, -0.142944, 0.987793, -0.16748, -0.3396, -0.319336, 0.0750732, -0.0418701, 1.03809, 0.151855, 0.343262, 0.110962, Idle
-0.0367432, -0.0687866, 1.00684, 0.0201416, -0.0146255, 0.0137253, 0.00178528, 0.00214386, 0.00488281, 0.00907135, 0.0229187, 0.000695705, 0.155884, 0.151611, 0.0268555, 0.340332, 0.631836, 0.140259, -0.107117, -0.118774, 0.997559, -0.151245, -0.336426, -0.0582581, 0.0486755, 0.0327454, 1.02441, 0.188965, 0.295166, 0.0819092, Idle
-0.0384521, -0.0214539, 1.00879, 0.00391388, 0.0440369, -0.00366592, 0.00212097, 0.000490189, 0.00292969, 0.00452805, 0.0230255, 0.00329399, 0.155518, 0.0772705, 0.0273438, 0.274658, 0.616699, 0.196167, -0.103027, -0.0656128, 0.998047, -0.153931, -0.289063, -0.0995483, 0.0524597, 0.0116348, 1.02539, 0.120667, 0.327637, 0.0966187, Idle
-0.0157471, -0.0605164, 1.00977, -0.0244141, -0.0323486, 0.0312042, 0.00497055, 0.00158691, 0, 0.0139923, 0.0481262, 0.00401688, 0.273438, 0.129395, 0.0541992, 0.495605, 0.907227, 0.246094, -0.133789, -0.126587, 0.975098, -0.309326, -0.342529, -0.0743408, 0.139526, 0.00275993, 1.0293, 0.186279, 0.564453, 0.171753, Idle
-0.0501709, -0.0889893, 1.00586, 0.000222445, 0.0274506, 0.0015583, 0.00130653, 0.000465393, 0.00390625, 0.00457382, 0.022049, 0.000970364, 0.148804, 0.0977173, 0.0341797, 0.294678, 0.718262, 0.14209, -0.115356, -0.136108, 0.992188, -0.11377, -0.155518, -0.078125, 0.0333862, -0.0383911, 1.02637, 0.180908, 0.5625, 0.0639038, Idle
-0.0429688, -0.0476685, 1.00977, -0.000701427, 0.0177002, -0.00951385, 0.000597, 8.01086e-05, 0.00195313, 0.000897884, 0.0110626, 0.000373125, 0.0846558, 0.0456543, 0.0297852, 0.129028, 0.516602, 0.0875854, -0.0897827, -0.0733643, 0.996582, -0.0648804, -0.289551, -0.0567627, -0.00512314, -0.0277252, 1.02637, 0.0640869, 0.227051, 0.0308228, Idle
-0.121643, -0.04422, 1.00293, 0.00115681, 0.00623322, -0.000854015, 0.00159454, 0.000699997, 0.00292969, 0.00243378, 0.0151749, 0.000251055, 0.145142, 0.0996094, 0.0175781, 0.237793, 0.531738, 0.0752563, -0.20105, -0.0774536, 0.996094, -0.141113, -0.405273, -0.0428467, -0.0559082, 0.0221252, 1.01367, 0.0966187, 0.126221, 0.0323792, Idle
-0.0604248, -0.0378418, 1.01074, -0.0120163, 0.00482941, 0.0658569, 0.000255585, 9.82285e-05, 0.00976563, 0.00092268, 0.00398254, 0.00794983, 0.0651855, 0.037323, 0.0473633, 0.18042, 0.427979, 0.308838, -0.0997314, -0.0544739, 0.984863, -0.121338, -0.24292, -0.0147705, -0.0345764, -0.0171509, 1.03223, 0.059082, 0.185059, 0.293945, Idle
-0.0640259, -0.0180054, 1.00781, 0.00346375, 0.011879, -0.0276184, 9.53674e-05, 7.89165e-05, 0.00976563, 0.000124693, 0.000607014, 0.000979424, 0.0352783, 0.0315857, 0.0107422, 0.0408936, 0.119751, 0.137573, -0.0853271, -0.0351868, 1.00879, -0.0136185, -0.0555115, -0.124878, -0.0500488, -0.00359726, 1.01953, 0.0272522, 0.064209, 0.0126343, Idle
