@relation 'MLC'

@attribute F1_ENERGY_on_ACC_X numeric
@attribute F2_ENERGY_on_ACC_Y numeric
@attribute F3_ENERGY_on_ACC_Z numeric
@attribute F4_ENERGY_on_GY_X numeric
@attribute F5_ENERGY_on_GY_Y numeric
@attribute F6_ENERGY_on_GY_Z numeric
@attribute F7_ZeroCross_on_ACC_X numeric
@attribute F8_ZeroCross_on_ACC_Y numeric
@attribute F9_ZeroCross_on_ACC_Z numeric
@attribute F10_ZeroCross_on_GY_X numeric
@attribute F11_ZeroCross_on_GY_Y numeric
@attribute F12_ZeroCross_on_GY_Z numeric
@attribute F13_PositiveZeroCross_on_ACC_X numeric
@attribute F14_PositiveZeroCross_on_ACC_Y numeric
@attribute F15_PositiveZeroCross_on_ACC_Z numeric
@attribute F16_PositiveZeroCross_on_GY_X numeric
@attribute F17_PositiveZeroCross_on_GY_Y numeric
@attribute F18_PositiveZeroCross_on_GY_Z numeric
@attribute F19_NegativeZeroCross_on_ACC_X numeric
@attribute F20_NegativeZeroCross_on_ACC_Y numeric
@attribute F21_NegativeZeroCross_on_ACC_Z numeric
@attribute F22_NegativeZeroCross_on_GY_X numeric
@attribute F23_NegativeZeroCross_on_GY_Y numeric
@attribute F24_NegativeZeroCross_on_GY_Z numeric
@attribute F25_PeaKDet_on_ACC_X numeric
@attribute F26_PeaKDet_on_ACC_Y numeric
@attribute F27_PeaKDet_on_ACC_Z numeric
@attribute F28_PeaKDet_on_GY_X numeric
@attribute F29_PeaKDet_on_GY_Y numeric
@attribute F30_PeaKDet_on_GY_Z numeric
@attribute class {Circle, Idle, Square, Triangle}

@data
4.12109, 1.05176, 79.5, 4.97656, 22.6094, 12.5, 6, 4, 10, 16, 8, 6, 2, 2, 4, 8, 4, 2, 4, 2, 6, 8, 4, 4, 34, 27, 27, 20, 17, 22, Circle
4.95703, 1.01563, 75.125, 7.03906, 20.5938, 24.375, 8, 14, 8, 12, 10, 8, 4, 6, 4, 6, 4, 4, 4, 8, 4, 6, 6, 4, 30, 24, 31, 30, 28, 26, Circle
4.17188, 1.54688, 77.3125, 5.10156, 23.4063, 21.1719, 6, 12, 6, 14, 12, 4, 4, 6, 4, 6, 6, 2, 2, 6, 2, 8, 6, 2, 24, 33, 36, 30, 26, 19, Circle
3.7832, 2.36328, 81.0625, 5.14063, 17.6094, 14.4375, 4, 12, 4, 18, 12, 14, 2, 6, 2, 10, 6, 8, 2, 6, 2, 8, 6, 6, 18, 26, 38, 25, 26, 23, Circle
0.181519, 0.0692139, 83.4375, 1.01758, 3.89648, 7.3125, 8, 8, 0, 20, 22, 22, 4, 4, 0, 10, 10, 10, 4, 4, 0, 10, 12, 12, 24, 34, 25, 28, 32, 19, Circle
0.458252, 0.107239, 83.1875, 0.646973, 2.0625, 2.66406, 4, 18, 24, 20, 10, 12, 2, 10, 12, 10, 6, 6, 2, 8, 12, 10, 4, 6, 17, 20, 29, 20, 21, 17, Circle
0.862793, 0.60498, 85.0625, 0.967285, 3.97461, 5.90625, 2, 8, 14, 16, 16, 10, 2, 4, 8, 8, 10, 6, 0, 4, 6, 8, 6, 4, 26, 19, 32, 14, 21, 19, Circle
3.61133, 0.824219, 77.375, 5.40234, 29.4688, 33.5, 6, 14, 6, 10, 6, 6, 2, 6, 2, 6, 2, 2, 4, 8, 4, 4, 4, 4, 13, 20, 21, 21, 11, 10, Circle
4.19141, 1.45801, 78.25, 5.05078, 30.8594, 25.7344, 6, 4, 10, 12, 8, 6, 4, 2, 6, 6, 4, 4, 2, 2, 4, 6, 4, 2, 14, 15, 12, 21, 20, 13, Circle
8.71094, 1.50977, 76.1875, 5.09766, 40.5313, 25.6094, 4, 8, 4, 8, 8, 4, 2, 4, 2, 4, 4, 2, 2, 4, 2, 4, 4, 2, 10, 19, 18, 25, 15, 14, Circle
4.53125, 1.48535, 79.3125, 2.48633, 20.0781, 21.6719, 4, 4, 4, 12, 6, 4, 2, 2, 2, 6, 4, 2, 2, 2, 2, 6, 2, 2, 25, 19, 21, 23, 16, 16, Circle
3.66016, 1.47656, 80.75, 2.76563, 27.5781, 23.0625, 6, 6, 6, 20, 4, 4, 2, 4, 2, 10, 2, 2, 4, 2, 4, 10, 2, 2, 16, 14, 16, 25, 21, 17, Circle
6.5, 1.58789, 73.0625, 7.10938, 29.2188, 20.9375, 4, 4, 4, 12, 6, 6, 2, 2, 2, 6, 2, 2, 2, 2, 2, 6, 4, 4, 14, 15, 24, 22, 10, 8, Circle
5.55469, 2.70898, 73.5625, 4.45313, 22.5156, 23.3594, 4, 6, 4, 10, 4, 4, 2, 2, 2, 4, 2, 2, 2, 4, 2, 6, 2, 2, 13, 14, 23, 20, 12, 23, Circle
3.21484, 1.75, 80.0625, 3.10938, 23.4688, 17.4844, 6, 14, 6, 8, 4, 4, 4, 6, 4, 4, 2, 2, 2, 8, 2, 4, 2, 2, 16, 19, 28, 17, 13, 14, Circle
3.30859, 2.34961, 81.375, 5.41797, 15.4219, 14, 4, 4, 4, 14, 4, 6, 2, 2, 2, 8, 2, 4, 2, 2, 2, 6, 2, 2, 12, 14, 25, 21, 26, 13, Circle
3.47461, 0.952148, 81.125, 2.69531, 17.2031, 15.6797, 4, 4, 8, 22, 8, 4, 2, 2, 4, 10, 4, 2, 2, 2, 4, 12, 4, 2, 15, 17, 26, 30, 11, 13, Circle
4.5, 0.80957, 79.4375, 3.71875, 17.8125, 18.1094, 4, 4, 4, 8, 6, 4, 2, 2, 2, 4, 4, 2, 2, 2, 2, 4, 2, 2, 14, 31, 30, 21, 23, 19, Circle
3.57031, 1.02344, 81.4375, 4.78906, 18.5625, 16.3906, 4, 6, 4, 20, 4, 4, 2, 4, 2, 10, 2, 2, 2, 2, 2, 10, 2, 2, 4, 24, 28, 24, 14, 18, Circle
4.09375, 0.95752, 78.375, 3.87695, 20.7969, 11.2578, 4, 4, 6, 16, 8, 6, 2, 2, 2, 8, 4, 2, 2, 2, 4, 8, 4, 4, 16, 17, 18, 22, 19, 12, Circle
4.82422, 0.937988, 75.25, 6.01953, 17.8594, 23.8125, 4, 6, 4, 8, 6, 4, 2, 2, 2, 4, 2, 2, 2, 4, 2, 4, 4, 2, 23, 24, 17, 22, 12, 15, Circle
3.80273, 1.48242, 78.1875, 3.32227, 21.2656, 19.1563, 6, 4, 6, 6, 4, 4, 4, 2, 4, 2, 2, 2, 2, 2, 2, 4, 2, 2, 10, 21, 28, 28, 17, 6, Circle
3.69727, 2.22461, 80.8125, 3.44727, 15.3203, 12.5703, 4, 8, 4, 14, 8, 6, 2, 4, 2, 8, 4, 4, 2, 4, 2, 6, 4, 2, 10, 15, 36, 15, 22, 10, Circle
0.0638428, 0.0461731, 83.375, 0.365234, 0.706543, 3.5918, 8, 6, 0, 14, 22, 6, 4, 2, 0, 8, 10, 2, 4, 4, 0, 6, 12, 4, 21, 28, 29, 34, 28, 13, Circle
0.376221, 0.0755615, 82.8125, 0.187866, 0.78418, 1.83496, 0, 10, 26, 18, 18, 4, 0, 6, 10, 10, 10, 2, 0, 4, 16, 8, 8, 2, 15, 18, 27, 18, 19, 14, Circle
0.767578, 0.557129, 85.375, 0.337646, 4.85547, 5.72656, 4, 8, 6, 18, 10, 14, 2, 4, 4, 8, 6, 8, 2, 4, 2, 10, 4, 6, 18, 20, 26, 18, 15, 14, Circle
3.06445, 0.541504, 75.8125, 3.37891, 21.2813, 28.3438, 4, 6, 6, 6, 6, 6, 2, 2, 2, 4, 2, 2, 2, 4, 4, 2, 4, 4, 3, 13, 10, 15, 9, 5, Circle
3.46094, 1.31641, 79.5, 3.12891, 24.0781, 20.4219, 6, 4, 6, 10, 4, 6, 4, 2, 4, 6, 2, 4, 2, 2, 2, 4, 2, 2, 6, 9, 12, 12, 14, 6, Circle
8.36719, 1.30273, 75, 3.77734, 33.9688, 21.9063, 4, 4, 4, 10, 6, 4, 2, 2, 2, 4, 4, 2, 2, 2, 2, 6, 2, 2, 7, 13, 13, 24, 3, 10, Circle
3.28125, 1.29297, 79.8125, 1.94824, 17.0156, 18.7188, 4, 6, 2, 8, 4, 4, 2, 4, 2, 4, 2, 2, 2, 2, 0, 4, 2, 2, 10, 19, 15, 21, 12, 9, Circle
3.35547, 1.3418, 78.5, 2.63086, 23.8594, 17.9219, 6, 4, 6, 8, 4, 6, 2, 2, 2, 4, 2, 2, 4, 2, 4, 4, 2, 4, 10, 12, 14, 20, 15, 6, Circle
6.09375, 1.44629, 72.875, 5.16016, 21.9531, 19.1875, 4, 4, 4, 4, 6, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 9, 9, 16, 17, 6, 7, Circle
4.39453, 2.48047, 74.625, 3.19141, 20.1094, 19.0313, 4, 6, 6, 8, 4, 4, 2, 2, 4, 4, 2, 2, 2, 4, 2, 4, 2, 2, 8, 6, 13, 18, 13, 12, Circle
2.58398, 1.80273, 80.625, 1.72656, 17.8125, 14.3906, 6, 4, 4, 8, 4, 6, 4, 2, 2, 4, 2, 4, 2, 2, 2, 4, 2, 2, 8, 21, 14, 23, 12, 6, Circle
3.04297, 1.99902, 81.0625, 3.74805, 12.4922, 12.1875, 4, 4, 2, 12, 4, 6, 2, 2, 2, 6, 2, 4, 2, 2, 0, 6, 2, 2, 10, 12, 25, 16, 10, 10, Circle
3.0957, 0.899414, 81, 2.13477, 13.3828, 14.1406, 4, 4, 4, 16, 6, 4, 2, 2, 2, 8, 4, 2, 2, 2, 2, 8, 2, 2, 5, 20, 21, 23, 14, 4, Circle
3.90234, 0.660156, 79.625, 3.23242, 15.4922, 15.1563, 4, 6, 4, 8, 4, 4, 2, 4, 2, 4, 2, 2, 2, 2, 2, 4, 2, 2, 10, 16, 25, 18, 12, 9, Circle
3.18359, 0.857422, 79.875, 3.67773, 17.0781, 13.1328, 6, 4, 6, 4, 4, 4, 2, 2, 2, 2, 2, 2, 4, 2, 4, 2, 2, 2, 4, 18, 22, 15, 11, 8, Circle
3.9375, 0.863281, 77.3125, 3.51563, 15.7891, 9.44531, 4, 4, 4, 8, 4, 6, 2, 2, 2, 4, 2, 2, 2, 2, 2, 4, 2, 4, 6, 9, 10, 10, 10, 4, Circle
4.14063, 0.854004, 75.75, 3.76563, 13.8125, 20.8125, 4, 6, 4, 6, 6, 4, 2, 2, 2, 2, 2, 2, 2, 4, 2, 4, 4, 2, 11, 24, 15, 21, 9, 9, Circle
3.11719, 1.43066, 79.3125, 2.53711, 16.0625, 15.5859, 6, 4, 6, 4, 8, 6, 4, 2, 4, 2, 4, 4, 2, 2, 2, 2, 4, 2, 4, 15, 20, 17, 12, 8, Circle
3.4707, 1.9873, 80.125, 1.55371, 13.0313, 11.8516, 4, 12, 4, 6, 10, 4, 2, 6, 2, 4, 6, 2, 2, 6, 2, 2, 4, 2, 8, 12, 18, 23, 14, 10, Circle
0.0071373, 0.0122757, 83.625, 0.00395966, 0.0101929, 0.890625, 4, 70, 0, 2, 2, 0, 2, 36, 0, 0, 2, 0, 2, 34, 0, 2, 0, 0, 53, 40, 46, 40, 47, 48, Idle
0.00658035, 0.00161457, 83.4375, 0.00218391, 0.00722504, 0.00232887, 74, 72, 4, 58, 40, 0, 38, 36, 2, 30, 18, 0, 36, 36, 2, 28, 22, 0, 40, 46, 51, 45, 50, 39, Idle
