@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_ACC_V numeric
@attribute F5_VAR_on_ACC_X numeric
@attribute F6_VAR_on_ACC_Y numeric
@attribute F7_VAR_on_ACC_Z numeric
@attribute F8_VAR_on_ACC_V numeric
@attribute F9_ENERGY_on_ACC_X numeric
@attribute F10_ENERGY_on_ACC_Y numeric
@attribute F11_ENERGY_on_ACC_Z numeric
@attribute F12_ENERGY_on_ACC_V numeric
@attribute F13_PeakToPeak_on_ACC_X numeric
@attribute F14_PeakToPeak_on_ACC_Y numeric
@attribute F15_PeakToPeak_on_ACC_Z numeric
@attribute F16_PeakToPeak_on_ACC_V numeric
@attribute class {Circle, Idle, Square, Triangle}

@data
0.0683594, -0.111694, 0.986328, 1.02441, 0.051239, 0.00585175, 0.00585938, 0.00488281, 4.53125, 1.48535, 79.3125, 85.5, 0.744141, 0.278564, 0.277344, 0.264648, Circle
-0.0241699, -0.0969238, 0.993164, 1.02539, 0.0445862, 0.00882721, 0.00976563, 0.00488281, 3.66016, 1.47656, 80.75, 85.6875, 0.637207, 0.303955, 0.400391, 0.353027, Circle
-0.119629, -0.0825806, 0.939941, 0.995605, 0.065918, 0.0127716, 0.0180664, 0.00976563, 6.5, 1.58789, 73.0625, 81.125, 0.699219, 0.359619, 0.412598, 0.299316, Circle
-0.0647583, -0.0988159, 0.946777, 1, 0.0643311, 0.0236511, 0.0112305, 0.00878906, 5.55469, 2.70898, 73.5625, 81.75, 0.77002, 0.455322, 0.370605, 0.316895, Circle
-0.0447693, -0.121033, 0.988281, 1.01758, 0.0376587, 0.00694275, 0.0112305, 0.0126953, 3.21484, 1.75, 80.0625, 84.9375, 0.610352, 0.364258, 0.310547, 0.26416, Circle
-0.050354, -0.124695, 0.99707, 1.03223, 0.038269, 0.013443, 0.00976563, 0.0078125, 3.30859, 2.34961, 81.375, 87, 0.599121, 0.366211, 0.347168, 0.287598, Circle
-0.0294189, -0.0733643, 0.993652, 1.02441, 0.0420227, 0.00636673, 0.0136719, 0.00683594, 3.47461, 0.952148, 81.125, 85.625, 0.597656, 0.279541, 0.387207, 0.330566, Circle
-0.0696411, -0.072876, 0.982422, 1.02051, 0.0506592, 0.00467682, 0.0146484, 0.00390625, 4.5, 0.80957, 79.4375, 84.6875, 0.676758, 0.234619, 0.373047, 0.283203, Circle
-0.0593567, -0.061554, 0.994629, 1.02441, 0.0405273, 0.00884247, 0.015625, 0.0117188, 3.57031, 1.02344, 81.4375, 86.0625, 0.663086, 0.29541, 0.291504, 0.259277, Circle
-0.103516, -0.0748901, 0.979004, 1.00977, 0.0397949, 0.0062027, 0.00830078, 0.00976563, 4.09375, 0.95752, 78.375, 83.4375, 0.61377, 0.282471, 0.342285, 0.288086, Circle
-0.13147, -0.0805054, 0.953613, 0.995605, 0.0422363, 0.00509262, 0.019043, 0.00830078, 4.82422, 0.937988, 75.25, 81, 0.575195, 0.244507, 0.388672, 0.345215, Circle
-0.102173, -0.093811, 0.975586, 1.01074, 0.0364685, 0.00949097, 0.0126953, 0.00683594, 3.80273, 1.48242, 78.1875, 83.375, 0.615234, 0.319824, 0.352539, 0.322754, Circle
-0.0784302, -0.139038, 0.992188, 1.03125, 0.0394592, 0.00811768, 0.0126953, 0.00390625, 3.69727, 2.22461, 80.8125, 86.5, 0.622559, 0.357422, 0.357422, 0.27832, Circle
-0.00136471, 0.00387573, 1.01074, 1.0127, 0.000785828, 0.000555038, 0.00683594, 0.00292969, 0.0638428, 0.0461731, 83.375, 83.375, 0.116821, 0.0932007, 0.0786133, 0.0800781, Circle
0.0593262, 0.0218201, 1.00781, 1.01172, 0.00112343, 0.000456095, 0.00585938, 0.00390625, 0.376221, 0.0755615, 82.8125, 83.3125, 0.119019, 0.0819702, 0.0371094, 0.0424805, Circle
0.0592346, 0.0731812, 1.02539, 1.03516, 0.00595856, 0.00151825, 0.00195313, 0, 0.767578, 0.557129, 85.375, 86.5, 0.22644, 0.144165, 0.150391, 0.17041, Circle
-0.0556946, 0.0281219, 0.958496, 0.983887, 0.0346985, 0.00588989, 0.0161133, 0.0107422, 3.06445, 0.541504, 75.8125, 79.375, 0.55127, 0.288086, 0.367676, 0.342285, Circle
-0.0352478, -0.0914307, 0.984863, 1.0166, 0.0414429, 0.00787354, 0.0112305, 0.00683594, 3.46094, 1.31641, 79.5, 84.3125, 0.628906, 0.299072, 0.366211, 0.299316, Circle
-0.0383606, -0.0726318, 0.95166, 1.0166, 0.101746, 0.0107956, 0.0195313, 0.0107422, 8.36719, 1.30273, 75, 84.625, 0.943848, 0.335938, 0.41748, 0.265137, Circle
0.0522461, -0.106812, 0.986816, 1.0166, 0.0377502, 0.00453949, 0.0112305, 0.00878906, 3.28125, 1.29297, 79.8125, 84.4375, 0.687988, 0.219238, 0.23584, 0.207031, Circle
-0.0472412, -0.0932617, 0.978516, 1.00781, 0.0391541, 0.00785828, 0.0107422, 0.00976563, 3.35547, 1.3418, 78.5, 83.125, 0.591797, 0.260498, 0.279297, 0.255859, Circle
-0.122375, -0.0882568, 0.942383, 0.988281, 0.0602112, 0.0100479, 0.0107422, 0.0151367, 6.09375, 1.44629, 72.875, 80.375, 0.655273, 0.304932, 0.352539, 0.253418, Circle
-0.0535889, -0.100525, 0.95459, 0.997559, 0.0513306, 0.0204926, 0.00927734, 0.00683594, 4.39453, 2.48047, 74.625, 81.25, 0.64502, 0.425781, 0.312988, 0.249023, Circle
-0.0311737, -0.128418, 0.991699, 1.01953, 0.0309143, 0.00575256, 0.0112305, 0.0078125, 2.58398, 1.80273, 80.625, 84.875, 0.549805, 0.296631, 0.273438, 0.242188, Circle
-0.0448303, -0.117981, 0.993164, 1.02734, 0.0355225, 0.0107422, 0.0136719, 0.00585938, 3.04297, 1.99902, 81.0625, 86.0625, 0.538574, 0.319824, 0.278809, 0.232422, Circle
-0.0292816, -0.0745239, 0.99707, 1.01953, 0.037323, 0.00553894, 0.00537109, 0.00878906, 3.0957, 0.899414, 81, 84.9375, 0.558105, 0.231567, 0.299316, 0.242188, Circle
-0.0764771, -0.0684204, 0.983887, 1.0166, 0.0422974, 0.00345993, 0.0141602, 0.00585938, 3.90234, 0.660156, 79.625, 84.1875, 0.60498, 0.189819, 0.301758, 0.222168, Circle
-0.0704956, -0.057251, 0.987793, 1.01465, 0.0343018, 0.00729752, 0.00976563, 0.0078125, 3.18359, 0.857422, 79.875, 84.0625, 0.583496, 0.268799, 0.264648, 0.211426, Circle
-0.11084, -0.0774536, 0.970215, 1.00098, 0.0363159, 0.00465012, 0.012207, 0.0107422, 3.9375, 0.863281, 77.3125, 82.125, 0.561035, 0.205933, 0.300781, 0.23584, Circle
-0.12561, -0.0840454, 0.962891, 0.996094, 0.0353088, 0.00347137, 0.00732422, 0.00732422, 4.14063, 0.854004, 75.75, 81, 0.549316, 0.183594, 0.30957, 0.263184, Circle
-0.088501, -0.0981445, 0.98291, 1.0127, 0.0306244, 0.00801849, 0.012207, 0.0078125, 3.11719, 1.43066, 79.3125, 83.75, 0.549805, 0.268799, 0.298828, 0.233887, Circle
-0.0718384, -0.137573, 0.989258, 1.02734, 0.0376587, 0.00559998, 0.00976563, 0, 3.4707, 1.9873, 80.125, 85.5, 0.583008, 0.254639, 0.298828, 0.233398, Circle
-0.00801086, 6.32405e-05, 1.01074, 1.01074, 2.38419e-05, 0.000151396, 0.00976563, 0.00976563, 0.0071373, 0.0122757, 83.625, 83.625, 0.0340271, 0.124023, 0.125488, 0.128906, Idle
-0.00830078, 0.000658035, 1.01172, 1.01172, 1.22786e-05, 1.94907e-05, 0.00585938, 0.00585938, 0.00658035, 0.00161457, 83.4375, 83.4375, 0.0149994, 0.0181122, 0.00976563, 0.00976563, Idle
-0.00783539, 0.000498295, 1.01172, 1.01172, 1.15037e-05, 1.65701e-05, 0.0117188, 0.0117188, 0.00590897, 0.00136471, 83.875, 83.875, 0.0138397, 0.0161591, 0.0107422, 0.0107422, Idle
-0.00792694, 0.000324965, 1.01172, 1.01172, 7.51019e-06, 9.89437e-06, 0.00878906, 0.00878906, 0.00569916, 0.000813484, 83.6875, 83.6875, 0.0124969, 0.0121384, 0.00878906, 0.00878906, Idle
-0.00839233, 0.000290394, 1.0127, 1.0127, 1.06692e-05, 1.21593e-05, 0.00585938, 0.00585938, 0.00657654, 0.000989914, 83.625, 83.625, 0.0181732, 0.0206757, 0.0146484, 0.0146484, Idle
-0.00831604, 0.000766754, 1.0127, 1.0127, 6.67572e-06, 8.40425e-06, 0.00585938, 0.00585938, 0.00614548, 0.000729084, 83.625, 83.625, 0.0137787, 0.0144577, 0.00976563, 0.00976563, Idle
-0.00802612, 0.00105286, 1.01172, 1.01172, 1.19209e-05, 9.0003e-06, 0.00683594, 0.00683594, 0.00619125, 0.000819683, 83.5, 83.5, 0.017807, 0.0153046, 0.015625, 0.015625, Idle
-0.00774002, 0.0010004, 1.0127, 1.0127, 1.01328e-05, 8.76188e-06, 0.00390625, 0.00390625, 0.00567627, 0.000790596, 83.4375, 83.4375, 0.0157318, 0.0138397, 0.0185547, 0.0185547, Idle
-0.00832367, 0.000564575, 1.01172, 1.01172, 7.45058e-06, 1.19209e-05, 0.00976563, 0.00976563, 0.00621796, 0.000989914, 83.75, 83.75, 0.0129242, 0.0206146, 0.0195313, 0.0195313, Idle
-0.00790405, 0.000638962, 1.0127, 1.0127, 7.86781e-06, 9.47714e-06, 0.00390625, 0.00390625, 0.00570297, 0.000800133, 83.4375, 83.4375, 0.0134735, 0.015007, 0.0175781, 0.0175781, Idle
-0.0082016, 0.000770092, 1.0127, 1.0127, 7.80821e-06, 7.56979e-06, 0.00585938, 0.00585938, 0.00608826, 0.00066328, 83.625, 83.625, 0.0115814, 0.0112228, 0.0126953, 0.0126953, Idle
-0.00823212, 0.000842571, 1.01074, 1.01074, 7.15256e-06, 8.76188e-06, 0.0078125, 0.0078125, 0.006073, 0.000769615, 83.4375, 83.4375, 0.0120697, 0.0150681, 0.0126953, 0.0126953, Idle
-0.00844574, 0.000664234, 1.01074, 1.01074, 1.19209e-05, 9.05991e-06, 0.00976563, 0.00976563, 0.0067482, 0.000766277, 83.625, 83.625, 0.019455, 0.0182343, 0.0561523, 0.0566406, Idle
